 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 10177903 ;SP ;ADAMANTINA ;ADAMANTINA ;RUA SANTO ANDRÉ, N. 98, Nº 160 NO LOCAL - BAIRRO TERRA PRETA ;330.644,43;540.000,00;38.77;Imóvel rural, 0.00 de área total, 0.00 de área privativa, 800.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10177903
 8787708336500 ;SP ;ADAMANTINA ;CONDOMINIO RESIDENCIAL ECOVILLE II ;RUA PADRE CAETANO MARIA DOLCIMASCULO, N. 380, QD F CS 120 ;180.000,00;180.000,00;0.00;Casa, 0.00 de área total, 44.95 de área privativa, 140.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787708336500
 8444422223485 ;SP ;AGUAS DE SANTA BARBARA ;CENTRO ;AVENIDA JOSE COSTA, N. SN, LT 14 ;43.568,30;75.000,00;41.91;Terreno, 0.00 de área total, 0.00 de área privativa, 137.48 de área do terreno.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444422223485
 1444408171750 ;SP ;AGUAS DE SANTA BARBARA ;PARQUE DOS LAGOS ;AVENIDA RIO MISSISSIPI, N. 315, LT 31 QD 21 ;300.000,00;300.000,00;0.00;Casa, 0.00 de área total, 178.15 de área privativa, 1010.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), sacada, cozinha, 2 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444408171750
 8444417146427 ;SP ;AGUDOS ;PARQUE PAMPULHA ;RUA CLAUDEMIR SHESHEL ZAGO, N. 595, Apto 0, QD 45 LOTE A ;135.000,00;135.000,00;0.00;Casa, 0.00 de área total, 48.87 de área privativa, 138.62 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444417146427
 8444414508654 ;SP ;ALTAIR ;CONJUNTO HABITACIONAL JARDIM MARIANA CLA ;RUA JOAQUIM NICEZIO PEREIRA, N. 250, QD 02 LT 11 ;104.000,00;104.000,00;0.00;Casa, 0.00 de área total, 58.52 de área privativa, 200.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444414508654
 8444402715196 ;SP ;ALVARES MACHADO ;CONJ ALVARES MACHADO ;RUA LUIZ GONZAGA OLIVEIRA  ANTIGO, N. 139, Apto ., LT 30 QD E ;95.667,77;178.000,00;46.26;Casa, 0.00 de área total, 140.00 de área privativa, 170.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444402715196
 8444425994679 ;SP ;ALVARES MACHADO ;JARDIM SÃO FRANCISCO ;RUA DOS SERGIPANOS, N. SN, LT 31A, QD 06 ;36.016,46;62.000,00;41.91;Terreno, 0.00 de área total, 0.00 de área privativa, 127.50 de área do terreno.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444425994679
 8444423466284 ;SP ;ALVARES MACHADO ;PARQUE DOS PINHEIROS ;RUA TEIXEIRA DE MELO (ANTIGA RUA G), N. 170, QD 06  LT 15 B ;20.331,87;35.000,00;41.91;Terreno, 0.00 de área total, 0.00 de área privativa, 125.00 de área do terreno.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444423466284
 8444429464933 ;SP ;ALVARES MACHADO ;JARDIM PANORAMA ;RUA COELHO NETO, N. 114, LOTE 35B QUADRA 1 ;96.592,92;163.000,00;40.75;Casa, 0.00 de área total, 53.23 de área privativa, 148.28 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444429464933
 8444427781656 ;SP ;ALVARES MACHADO ;CJ HAB ALVARES MACHA ;RUA NIVALDO ZORZATTO DE ALMEIDA, N. 12, Apto 13, BL D ;123.402,83;78.000,00;0.00;Apartamento, 0.00 de área total, 44.73 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444427781656
 8444409326268 ;SP ;ALVARO DE CARVALHO ;CENTRO ;RUA ANTONIO PANTAROTO, N. 27, LT 19 QD 2AP ;48.473,63;80.000,00;39.41;Casa, 0.00 de área total, 54.50 de área privativa, 290.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444409326268
 1444410949348 ;SP ;ALVINLANDIA ;JARDIM DOS IPES ;RUA DELFINO RUSSO, N. 285, Apto 0, 04 QD 06 ;210.000,00;210.000,00;0.00;Casa, 0.00 de área total, 96.00 de área privativa, 200.00 de área do terreno,  2 qto(s), a.serv, WC, 2 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444410949348
 8787706263786 ;SP ;AMERICANA ;MORADA DO SOL ;AVENIDA SAO JERONIMO, N. 2750, Apto 307, BL 27 VG 468 ;104.874,20;176.974,62;40.75;Apartamento, 0.00 de área total, 38.92 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787706263786
 8787705855370 ;SP ;AMERICANA ;MORADA DO SOL ;AVENIDA SAO JERONIMO, N. 2750, Apto 403, BL 28 ;117.256,22;194.000,00;39.56;Apartamento, 0.00 de área total, 38.92 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787705855370
 8444423952456 ;SP ;AMERICANA ;LOTEAMENTO INDUSTRIAL MACHADINHO ;RUA ANGELO ORTOLAN, N. 150, Apto 301, BL 15 ;117.860,63;195.000,00;39.56;Apartamento, 0.00 de área total, 45.95 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444423952456
 8444416263624 ;SP ;AMERICANA ;JARDIM PROGRESSO ;RUA ARNO TOGNETTA, N. 401, Apto 306, BL 09 ;127.143,51;202.000,00;37.06;Apartamento, 0.00 de área total, 50.44 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444416263624
 8444420555413 ;SP ;AMERICANA ;PARQUE LIBERDADE ;RUA SERRA DO PARANAPIACABA, N. 235, 0 ;183.546,52;288.000,00;36.27;Casa, 0.00 de área total, 103.39 de área privativa, 174.62 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444420555413
 8555538859400 ;SP ;AMERICANA ;VILA AMORIM ;AVENIDA PADRE OSWALDO VIEIRA DE ANDRADE, N. 1185, Apto 401, BL 23, PAV 3 ;137.585,81;210.000,00;34.49;Apartamento, 0.00 de área total, 42.51 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 2 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555538859400
 8444424896339 ;SP ;AMERICANA ;MORADA DO SOL ;AVENIDA SAO JERONIMO, N. 2750, Apto 108, TERREO, BL 04, GLEBA A3B ;141.530,05;180.184,46;21.46;Apartamento, 0.00 de área total, 38.92 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444424896339
 1444407504250 ;SP ;AMERICANA ;VILA DAINESE ;RUA FRANCISCO GIONGO, N. 395, Apto 1, TERREO ;185.912,29;224.000,00;17.01;Apartamento, 0.00 de área total, 70.14 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444407504250
 8787703088533 ;SP ;AMERICANA ;MORADA DO SOL ;AVENIDA SAO JERONIMO, N. 2750, Apto 402, BLOCO 12, 3° PAVIMEMENTO ;178.000,00;178.000,00;0.00;Apartamento, 0.00 de área total, 38.92 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787703088533
 8555526312893 ;SP ;AMERICANA ;JARDIM NOSSA SENHORA DO CARMO ;RUA SAO GONCALO, N. 40, Apto 106, BL F ;212.000,00;212.000,00;0.00;Apartamento, 0.00 de área total, 55.12 de área privativa, 0.00 de área do terreno,  2 qto(s), varanda, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555526312893
 8555539765328 ;SP ;AMERICANA ;JARDIM GUANABARA ;AVENIDA EUROPA, N. 928, Apto 22, TORRE 08 ;240.000,00;240.000,00;0.00;Apartamento, 0.00 de área total, 49.99 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555539765328
 1444402370913 ;SP ;AMERICANA ;JARDIM BRASILIA ;RUA JOSEPHINA BRAGA CORDENONSI, N. 81, LT 7, QD 15 ;508.000,00;508.000,00;0.00;Casa, 0.00 de área total, 183.25 de área privativa, 325.00 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444402370913
 10207835 ;SP ;AMERICANA ;JARDIM WERNER PLAAS ;RUA DO VIDRACEIRO (ANTIGA RUA 11), N. 52, QD H, LT 10 ;2.084.000,00;2.084.000,00;0.00;Galpão, 0.00 de área total, 807.00 de área privativa, 1000.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10207835
 8444419185519 ;SP ;AMERICANA ;SAO MANOEL ;RUA SANTO ONOFRE, N. 592, QD.A-B LT.5-A ;230.000,00;230.000,00;0.00;Casa, 0.00 de área total, 58.60 de área privativa, 165.30 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444419185519
 1444408587590 ;SP ;AMERICANA ;LOTEAMENTO INDUSTRIAL MACHADINHO ;RUA ANGELO ORTOLAN, N. 150, Apto 401, BL 42 VG 508 ;200.000,00;200.000,00;0.00;Apartamento, 0.00 de área total, 45.95 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444408587590
 8444421676923 ;SP ;AMERICANA ;OLHO D'AGUA ;RUA MARANHAO, N. 1945, Apto 12, BL 12 VG 151 ;174.000,00;174.000,00;0.00;Apartamento, 0.00 de área total, 49.27 de área privativa, 0.00 de área do terreno,  2 qto(s), varanda, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444421676923
